"","year","variable","abb","state","value","value_real","drop"
"162",1953,"z_gasoline_tax","DE","Delaware",0.05,0.40144130789501,NA
"163",1953,"z_gasoline_tax","FL","Florida",0.07,0.833953587008632,NA
"164",1953,"z_gasoline_tax","GA","Georgia",0.06,0.795552282834378,NA
"165",1953,"z_gasoline_tax","HI","Hawaii",0.04,0.336793669937377,NA
"166",1953,"z_gasoline_tax","IA","Iowa",0.04,0.389683217861233,NA
"167",1953,"z_gasoline_tax","ID","Idaho",0.06,0.610307080684633,NA
"168",1953,"z_gasoline_tax","IL","Illinois",0.05,0.46960854391659,NA
"169",1953,"z_gasoline_tax","IN","Indiana",0.04,0.394159405836544,NA
"170",1953,"z_gasoline_tax","KS","Kansas",0.05,0.47604144348257,NA
"171",1953,"z_gasoline_tax","KY","Kentucky",0.07,0.930825006299708,NA
"172",1953,"z_gasoline_tax","LA","Louisiana",0.07,0.894824013976865,NA
"173",1953,"z_gasoline_tax","MA","Massachusetts",0.05,0.421188728918518,NA
"174",1953,"z_gasoline_tax","MD","Maryland",0.05,0.516323976951198,NA
"175",1953,"z_gasoline_tax","ME","Maine",0.06,0.51410729878252,NA
"176",1953,"z_gasoline_tax","MI","Michigan",0.045,0.446263225148275,NA
"177",1953,"z_gasoline_tax","MN","Minnesota",0.05,0.479179659603171,NA
"178",1953,"z_gasoline_tax","MO","Missouri",0.03,0.290911561224283,NA
"179",1953,"z_gasoline_tax","MS","Mississippi",0.07,1.06559433598834,NA
"180",1953,"z_gasoline_tax","MT","Montana",0.06,0.577417842398221,NA
"181",1953,"z_gasoline_tax","NC","North Carolina",0.07,0.979171172923144,NA
"182",1953,"z_gasoline_tax","ND","North Dakota",0.05,0.455642667355905,NA
"183",1953,"z_gasoline_tax","NE","Nebraska",0.05,0.452606596511582,NA
"184",1953,"z_gasoline_tax","NH","New Hampshire",0.05,0.393312601181092,NA
"185",1953,"z_gasoline_tax","NJ","New Jersey",0.03,0.247548787379171,NA
"186",1953,"z_gasoline_tax","NM","New Mexico",0.06,0.623845035201388,NA
"187",1953,"z_gasoline_tax","NV","Nevada",0.055,0.42418243876914,NA
"188",1953,"z_gasoline_tax","NY","New York",0.04,0.352472952126663,NA
"189",1953,"z_gasoline_tax","OH","Ohio",0.04,0.398536913600856,NA
"190",1953,"z_gasoline_tax","OK","Oklahoma",0.0658,0.778359837288206,NA
"191",1953,"z_gasoline_tax","OR","Oregon",0.06,0.604265656413232,NA
"192",1953,"z_gasoline_tax","PA","Pennsylvania",0.05,0.482513383029793,NA
"193",1953,"z_gasoline_tax","RI","Rhode Island",0.04,0.312910685496255,NA
"194",1953,"z_gasoline_tax","SC","South Carolina",0.07,0.977519323816,NA
"195",1953,"z_gasoline_tax","SD","South Dakota",0.05,0.452683198584046,NA
"196",1953,"z_gasoline_tax","TN","Tennessee",0.07,0.954133694549885,NA
"197",1953,"z_gasoline_tax","TX","Texas",0.04,0.539114568010343,NA
"198",1953,"z_gasoline_tax","UT","Utah",0.05,0.496012389246671,NA
"199",1953,"z_gasoline_tax","VA","Virginia",0.06,0.726952085361686,NA
"200",1953,"z_gasoline_tax","VT","Vermont",0.05,0.395689513236539,NA
"201",1953,"z_gasoline_tax","WA","Washington",0.065,0.667078655059796,NA
"202",1953,"z_gasoline_tax","WI","Wisconsin",0.04,0.382701826174852,NA
"203",1953,"z_gasoline_tax","WV","West Virginia",0.05,0.606939154975104,NA
"204",1953,"z_gasoline_tax","WY","Wyoming",0.05,0.426219956873002,NA
"205",1954,"z_gasoline_tax","AK","Alaska",0.02,0.158068494175088,NA
"206",1954,"z_gasoline_tax","AL","Alabama",0.06,0.826610663566433,NA
"207",1954,"z_gasoline_tax","AR","Arkansas",0.065,0.895327994281114,NA
"208",1954,"z_gasoline_tax","AZ","Arizona",0.05,0.50597831441912,NA
"209",1954,"z_gasoline_tax","CA","California",0.06,0.648260956078742,NA
"210",1954,"z_gasoline_tax","CO","Colorado",0.06,0.58528865779616,NA
"211",1954,"z_gasoline_tax","CT","Connecticut",0.04,0.298917931436261,NA
"212",1954,"z_gasoline_tax","DC","District of Columbia",0.05,0.513835668596449,NA
"213",1954,"z_gasoline_tax","DE","Delaware",0.05,0.399506651154122,NA
"214",1954,"z_gasoline_tax","FL","Florida",0.07,0.829934533560588,NA
"215",1954,"z_gasoline_tax","GA","Georgia",0.06,0.791718295897786,NA
"216",1954,"z_gasoline_tax","HI","Hawaii",0.04,0.335170568008785,NA
"217",1954,"z_gasoline_tax","IA","Iowa",0.05,0.484756533173837,NA
"218",1954,"z_gasoline_tax","ID","Idaho",0.06,0.607365841757652,NA
"219",1954,"z_gasoline_tax","IL","Illinois",0.05,0.46734536997722,NA
"220",1954,"z_gasoline_tax","IN","Indiana",0.04,0.392259842490806,NA
"221",1954,"z_gasoline_tax","KS","Kansas",0.05,0.473747267683952,NA
"222",1954,"z_gasoline_tax","KY","Kentucky",0.07,0.926339102695851,NA
"223",1954,"z_gasoline_tax","LA","Louisiana",0.07,0.890511609109431,NA
"224",1954,"z_gasoline_tax","MA","Massachusetts",0.05,0.419158903772512,NA
"225",1954,"z_gasoline_tax","MD","Maryland",0.06,0.616602802315739,NA
"226",1954,"z_gasoline_tax","ME","Maine",0.06,0.511629673328615,NA
"227",1954,"z_gasoline_tax","MI","Michigan",0.045,0.444112559238583,NA
"228",1954,"z_gasoline_tax","MN","Minnesota",0.05,0.47687035979985,NA
"229",1954,"z_gasoline_tax","MO","Missouri",0.03,0.289509577887344,NA
"230",1954,"z_gasoline_tax","MS","Mississippi",0.07,1.060458941691,NA
"231",1954,"z_gasoline_tax","MT","Montana",0.06,0.574635105917619,NA
"232",1954,"z_gasoline_tax","NC","North Carolina",0.07,0.974452275744309,NA
"233",1954,"z_gasoline_tax","ND","North Dakota",0.05,0.453446798709087,NA
"234",1954,"z_gasoline_tax","NE","Nebraska",0.06,0.540510431674765,NA
"235",1954,"z_gasoline_tax","NH","New Hampshire",0.05,0.391417118773923,NA
"236",1954,"z_gasoline_tax","NJ","New Jersey",0.03,0.246355781081864,NA
"237",1954,"z_gasoline_tax","NM","New Mexico",0.06,0.620838553130475,NA
"238",1954,"z_gasoline_tax","NV","Nevada",0.055,0.422138186141614,NA
"239",1954,"z_gasoline_tax","NY","New York",0.04,0.350774287191374,NA
"240",1954,"z_gasoline_tax","OH","Ohio",0.05,0.495770317195346,NA
"241",1954,"z_gasoline_tax","OK","Oklahoma",0.0658,0.774608705600086,NA
"242",1954,"z_gasoline_tax","OR","Oregon",0.06,0.6013535327254,NA
"243",1954,"z_gasoline_tax","PA","Pennsylvania",0.05,0.480188017195567,NA
"244",1954,"z_gasoline_tax","RI","Rhode Island",0.04,0.311402682148047,NA
"245",1954,"z_gasoline_tax","SC","South Carolina",0.07,0.972808387240393,NA
"246",1954,"z_gasoline_tax","SD","South Dakota",0.05,0.450501592933538,NA
"247",1954,"z_gasoline_tax","TN","Tennessee",0.07,0.949535459960625,NA
"248",1954,"z_gasoline_tax","TX","Texas",0.04,0.536516425482021,NA
"249",1954,"z_gasoline_tax","UT","Utah",0.05,0.493621967814023,NA
"250",1954,"z_gasoline_tax","VA","Virginia",0.06,0.723448701780601,NA
"251",1954,"z_gasoline_tax","VT","Vermont",0.05,0.393782575732489,NA
"252",1954,"z_gasoline_tax","WA","Washington",0.065,0.66386381817024,NA
"253",1954,"z_gasoline_tax","WI","Wisconsin",0.04,0.380857479973685,NA
"254",1954,"z_gasoline_tax","WV","West Virginia",0.05,0.604014146973879,NA
"255",1954,"z_gasoline_tax","WY","Wyoming",0.05,0.424165884870972,NA
"256",1955,"z_gasoline_tax","AK","Alaska",0.02,0.158706381617171,NA
"257",1955,"z_gasoline_tax","AL","Alabama",0.06,0.829946461187072,NA
"258",1955,"z_gasoline_tax","AR","Arkansas",0.065,0.898941101650638,NA
