description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
All sectors : Arizona,cents per kilowatthour,ELEC.PRICE.AZ-ALL.A,7.27,7.21,7.34,7.45,7.79,8.24,8.54,9.11,9.56,9.69,9.71,9.81,10.14,10.18,10.34,10.33,10.64,10.85,10.52,10.44,10.72
All sectors : Colorado,cents per kilowatthour,ELEC.PRICE.CO-ALL.A,6.02,6,6.77,6.95,7.64,7.61,7.76,8.59,8.31,9.15,9.39,9.39,9.88,10.06,9.94,9.83,9.99,10.02,10.17,10.27,10.92
All sectors : Idaho,cents per kilowatthour,ELEC.PRICE.ID-ALL.A,4.92,5.58,5.22,4.97,5.12,4.92,5.07,5.69,6.51,6.54,6.44,6.92,7.57,7.93,8.09,8.08,8.26,8.17,7.89,7.99,8.17
All sectors : Montana,cents per kilowatthour,ELEC.PRICE.MT-ALL.A,6.48,5.7,6.14,6.4,6.72,6.91,7.13,7.72,7.58,7.84,8.23,8.25,8.58,8.59,8.9,8.84,8.92,8.84,9.02,9.13,9.54
All sectors : Nevada,cents per kilowatthour,ELEC.PRICE.NV-ALL.A,7.86,8.42,8.29,8.56,9.02,9.63,9.99,9.89,10.36,9.73,8.97,8.95,9.03,9.73,9.48,8.38,8.76,8.67,8.78,8.33,8.64
All sectors : New Mexico,cents per kilowatthour,ELEC.PRICE.NM-ALL.A,7.16,6.73,7,7.1,7.51,7.37,7.44,8.35,8.09,8.4,8.74,8.83,9.25,9.65,9.62,9.12,9.59,9.35,8.99,9.33,9.84
All sectors : Utah,cents per kilowatthour,ELEC.PRICE.UT-ALL.A,5.21,5.39,5.41,5.69,5.92,5.99,6.41,6.49,6.77,6.94,7.13,7.84,8.15,8.35,8.54,8.72,8.6,8.21,8.24,8.27,8.39
All sectors : Wyoming,cents per kilowatthour,ELEC.PRICE.WY-ALL.A,4.46,4.68,4.76,4.98,5.16,5.27,5.29,5.67,6.08,6.2,6.58,7.19,7.55,7.76,7.97,8.19,8.28,8.09,8.1,8.27,8.25
All sectors : Pacific Contiguous,,ELEC.PRICE.PCC-ALL.A,,,,,,,,,,,,,,,,,,,,,
All sectors : California,cents per kilowatthour,ELEC.PRICE.CA-ALL.A,11.22,12.19,11.78,11.35,11.63,12.82,12.8,12.49,13.24,13.01,13.05,13.53,14.3,15.15,15.42,15.23,16.06,16.58,16.89,18,19.76
All sectors : Oregon,cents per kilowatthour,ELEC.PRICE.OR-ALL.A,5.44,6.32,6.18,6.21,6.34,6.53,7.02,7.24,7.47,7.56,8.04,8.21,8.44,8.68,8.75,8.83,8.81,8.85,8.81,8.82,9.1
All sectors : Washington,cents per kilowatthour,ELEC.PRICE.WA-ALL.A,5.34,5.88,5.86,5.8,5.87,6.14,6.37,6.55,6.59,6.66,6.78,6.94,7.09,7.13,7.4,7.68,7.94,8,8.04,8.33,8.78
All sectors : Pacific Noncontiguous,,ELEC.PRICE.PCN-ALL.A,,,,,,,,,,,,,,,,,,,,,
All sectors : Alaska,cents per kilowatthour,ELEC.PRICE.AK-ALL.A,10.54,10.46,10.5,10.99,11.72,12.84,13.28,14.74,15.09,14.76,16.08,16.33,16.49,17.46,17.59,17.93,19.1,19.36,20.22,19.82,20.05
All sectors : Hawaii,cents per kilowatthour,ELEC.PRICE.HI-ALL.A,14.05,13.39,14.47,15.7,18.33,20.72,21.29,29.2,21.21,25.12,31.59,34.04,33.26,33.43,26.17,23.87,26.05,29.18,28.72,27.55,30.35
