State,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,"40,283","39,609","40,538","41,084","30,089","28,790","26,805","27,603","29,321","47,800","52,951","50,637","66,283","74,011","74,190","76,886","86,152","91,005","81,586","85,369","83,836","84,239","84,994","80,762","85,852",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,"9,762","10,043","10,226","10,611","7,911","8,188","8,743","11,714","23,591","28,385","32,003","36,694","33,261","39,926","43,298","45,164","46,411","48,148","48,909","64,769","78,080","95,244","105,040","106,513","138,630",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,"48,279","54,334","51,186","47,127","46,005","42,485","37,158","38,001","38,191","41,987","42,138","44,483","54,225","56,443","58,036","63,674","74,096","76,197","85,212","99,674","109,544","117,235","125,022","125,514","139,948",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,"493,001","460,179","420,326","430,512","351,194","364,410","359,374","383,432","374,254","401,535","392,381","428,750","409,737","405,824","438,840","399,747","418,075","437,667","448,392","454,021","490,642","489,219","498,124","468,231","473,907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,"86,935","85,953","93,555","98,927","68,387","55,136","63,646","66,807","73,750","77,290","84,298","116,287","114,671","129,218","138,111","143,509","160,117","163,389","157,489","159,177","156,232","158,726","160,334","151,400","165,301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,"55,183","60,591","55,318","47,389","48,426","40,973","42,001","62,153","65,251","54,844","82,596","87,945","92,578","108,361","114,750","135,556","178,059","177,919","203,058","260,290","290,968","324,177","347,056","337,045","367,146",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,"530,594","455,575","510,869","437,828","351,491","403,564","386,713","387,006","368,234","438,058","402,132","418,899","423,040","406,526","526,732","507,768","472,016","495,029","451,541","482,943","516,930","502,494","445,620","473,155","449,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,"119,643","111,689","110,226","114,696","97,228","97,199","110,613","118,023","109,625","119,645","121,913","147,224","165,867","190,969","215,431","203,830","235,207","232,509","235,433","230,921","240,496","251,952","234,570","217,902","223,410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,"4,347","4,197","4,403","4,520","3,899","3,736","3,827","4,535","1,923","5,429","6,398","6,306","7,418","7,178","6,901","6,003","6,106","7,902","8,469","8,267","9,567","10,045","11,832","13,926","14,546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,"131,983","129,956","96,967","92,462","70,578","80,645","103,801","97,441","105,466","100,539","97,885","106,872","121,866","134,412","135,879","138,964","156,589","158,548","151,230","150,318","152,847","165,199","166,366","173,989","170,674",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,"96,328","63,218","73,106","63,439","41,085","52,277","57,222","60,251","61,504","71,514","69,575","82,021","106,123","128,953","154,349","140,762","128,968","140,135","138,038","149,018","148,279","158,194","169,269","171,078","205,338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,"161,831","158,854","131,836","120,501","138,865","148,413","184,237","179,906","174,097","151,732","126,960","150,056","192,435","176,941","191,304","181,037","226,381","194,804","196,878","170,822","182,761","199,132","191,569","211,994","198,765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,"126,373","115,561","98,723","101,490","102,165","123,648","117,593","123,497","140,202","193,518","250,482","351,072","352,946","458,187","524,901","533,395","584,228","634,054","672,832","820,815","915,338","1,009,917","1,071,087","1,149,538","1,293,066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,"20,402","20,533","21,236","16,401","12,128","11,230","10,520","10,715","15,773","15,066","14,230","17,793","20,364","22,771","31,282","28,026","25,011","29,679","33,778","47,601","64,181","61,286","60,089","61,965","67,954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,"125,994","126,110","122,830","117,047","95,661","82,137","110,936","117,963","132,464","133,344","135,794","140,866","144,884","143,772","136,050","134,372","152,518","167,411","169,053","167,391","167,010","183,826","169,910","170,439","189,262",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,"19,949","20,290","20,800","21,389","17,342","22,715","24,055","22,042","24,499","27,854","19,025","28,824","34,193","34,817","33,019","28,836","36,145","35,555","41,531","38,701","40,945","44,258","43,772","39,823","40,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,"1,160,946","904,688","1,084,122","911,481","660,974","893,664","834,753","819,551","815,363","937,172","894,490","898,118","853,813","839,885","1,080,055","1,036,980","942,926","957,292","891,733","948,976","967,707","955,305","797,587","884,394","850,547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,"128,387","110,682","116,297","115,703","128,460","110,928","118,300","108,704","145,127","140,855","142,051","160,022","153,699","186,264","186,444","178,205","188,808","195,664","200,490","200,299","198,839","203,443","202,897","183,061","178,716",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,"17,598","16,213","14,809","17,406","15,165","16,225","21,237","20,765","28,742","28,884","26,873","33,587","50,902","52,218","53,542","51,398","61,073","57,169","44,994","47,885","49,947","53,573","49,681","48,020","48,756",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,"16,280","15,733","14,158","15,011","14,658","12,279","11,638","14,039","19,291","19,573","18,963","22,477","35,036","45,955","61,810","55,484","54,820","56,015","52,372","58,491","59,425","54,920","57,094","68,407","91,943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
