"Current-dollar Gross Domestic Product (GDP), million dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,"156,351.4","166,904.8","175,759.3","191,515.0","196,006.1","203,713.8","215,721.8","231,267.1","245,380.5","252,295.9","262,063.1","267,420.6","262,088.9","274,231.3","287,039.3","298,328.3","311,126.4","324,751.4","335,530.2","344,060.8","353,664.9","372,011.3","383,956.6","376,814.4","412,458.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,"163,175.6","169,483.4","177,738.0","186,650.0","190,657.1","197,557.7","205,588.5","217,084.2","227,971.3","236,386.0","244,331.3","254,045.8","253,317.7","259,816.1","262,067.1","271,535.1","280,571.0","287,507.5","296,929.3","300,914.5","308,002.3","318,153.5","332,485.8","330,249.9","358,572.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,"58,352.7","60,940.4","63,879.0","65,673.1","67,174.0","69,259.9","73,961.9","77,998.0","82,448.5","87,099.5","91,191.4","94,514.5","91,792.2","93,943.1","96,218.0","100,448.4","102,371.0","104,300.3","105,914.6","107,291.4","109,600.8","112,201.7","114,234.4","115,123.4","127,307.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,"19,290.4","20,429.1","20,812.2","21,876.7","22,847.6","23,942.1","25,714.9","28,160.5","30,875.8","33,166.1","36,233.2","37,224.9","36,187.8","38,336.1","40,995.1","42,340.9","43,687.9","45,177.2","46,604.1","45,490.9","48,533.9","50,916.9","51,925.4","52,355.8","58,699.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,"233,934.9","246,890.4","265,375.7","278,008.5","288,069.5","297,846.4","310,388.9","329,878.9","355,469.7","387,525.0","401,490.9","418,793.4","411,155.8","420,027.6","431,722.7","445,095.3","462,268.9","483,191.3","508,928.7","526,029.8","548,522.1","567,836.2","594,521.0","598,915.9","662,120.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,"15,760.8","16,816.6","17,067.2","18,100.1","18,889.1","20,194.7","22,061.1","23,259.0","24,700.0","26,500.7","29,075.4","31,874.4","32,226.0","35,676.2","41,587.7","51,832.6","54,271.0","59,926.3","55,996.9","51,989.2","55,394.7","59,248.7","59,199.2","54,422.9","63,559.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,"49,819.2","51,822.1","53,685.2","56,527.5","59,607.2","61,417.3","66,402.1","70,469.2","74,564.5","78,813.8","83,834.8","85,628.0","86,870.4","91,561.5","99,921.1","102,725.9","107,260.7","111,945.9","116,514.6","118,145.9","121,726.6","127,015.5","131,866.9","134,580.8","146,285.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,"38,206.6","40,554.0","41,955.2","45,342.0","46,817.5","49,059.9","51,637.6","54,918.2","56,952.6","60,017.0","61,782.1","61,700.2","62,522.9","64,843.6","66,153.2","68,498.1","70,476.2","72,995.2","76,478.0","79,090.1","80,598.0","83,869.8","87,338.2","88,337.7","99,673.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,"307,817.1","319,861.3","336,064.9","361,005.4","373,698.0","386,132.5","400,984.7","414,848.6","435,736.7","457,593.1","474,867.9","496,227.2","482,458.9","492,762.4","495,965.8","517,195.9","534,177.8","542,842.8","563,233.8","575,501.0","587,421.0","614,106.5","637,630.4","620,085.9","682,945.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,"52,475.6","50,658.7","53,017.3","55,105.0","55,789.7","57,808.3","62,651.1","69,956.6","73,911.4","77,610.4","80,799.8","84,688.4","82,461.5","84,611.5","87,062.8","87,925.2","88,756.9","92,185.7","90,274.3","89,769.4","92,273.6","97,268.0","102,027.5","98,790.0","109,582.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,"60,259.1","65,114.2","71,595.9","76,833.1","80,429.2","85,008.7","90,633.6","103,231.0","116,166.2","125,848.3","131,620.9","130,609.5","122,127.1","124,669.4","127,677.9","129,312.9","132,086.4","136,008.7","145,115.9","151,840.4","160,653.1","170,257.6","182,186.3","172,562.6","194,486.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,"718,814.3","745,502.4","795,230.0","841,181.3","878,346.5","890,258.1","912,474.6","967,151.9","1,016,037.5","1,075,154.6","1,119,381.5","1,116,591.0","1,160,081.3","1,223,529.7","1,247,605.8","1,328,233.5","1,365,529.0","1,430,923.3","1,487,627.6","1,551,354.1","1,604,649.9","1,697,661.4","1,787,666.0","1,740,804.7","1,901,296.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,"343,430.3","361,638.1","376,465.2","392,277.2","396,944.5","411,034.5","423,780.2","446,225.3","468,891.6","482,738.1","497,761.5","496,919.4","482,281.1","500,515.3","528,189.9","545,740.1","566,532.4","595,640.9","611,019.5","623,265.3","645,636.8","667,115.6","697,166.8","684,382.5","756,617.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,"79,044.4","81,196.9","84,223.9","91,093.9","97,059.6","99,479.2","105,713.5","113,873.8","125,081.6","137,436.5","145,752.1","160,763.7","146,633.0","154,287.4","166,235.8","174,874.4","182,694.7","196,631.6","186,815.6","181,244.4","190,553.0","202,712.5","204,192.5","190,063.6","215,336.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,"100,914.8","105,146.8","107,621.5","117,154.6","116,963.6","120,665.5","126,671.5","135,646.8","143,507.8","153,593.1","159,585.2","164,925.4","159,607.3","164,137.2","170,630.9","174,611.0","179,527.7","188,120.7","200,659.6","211,305.9","222,601.6","237,113.7","247,233.1","247,966.7","272,190.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,"356,988.0","373,748.5","390,916.8","409,159.9","427,108.6","440,971.7","460,270.6","487,306.1","511,731.4","531,274.1","565,831.8","588,024.6","582,144.8","604,736.8","624,819.7","647,925.9","668,569.1","694,142.6","714,202.9","726,561.9","746,441.0","773,977.4","799,888.8","771,613.2","844,496.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,"28,928.8","30,818.5","32,267.2","34,466.8","35,862.8","37,809.2","39,638.0","42,363.9","44,374.1","47,204.4","47,340.8","47,277.5","47,702.2","49,468.3","50,206.1","51,583.0","53,034.1","54,559.7","56,390.8","57,353.5","58,085.0","59,290.8","61,642.8","60,770.6","66,570.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,"97,425.0","103,456.3","110,241.7","115,320.6","119,478.1","124,863.9","131,566.5","136,982.0","145,403.6","153,647.7","162,746.3","163,886.2","161,813.5","165,860.0","172,075.1","177,618.1","185,009.1","194,352.7","205,816.7","215,120.2","223,266.7","233,251.4","245,987.2","245,359.5","269,802.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,"19,031.4","20,228.1","21,078.7","22,743.3","23,412.1","26,322.1","27,216.1","29,271.3","30,997.4","32,364.5","35,073.0","36,603.0","36,432.9","37,852.5","41,892.1","43,901.5","45,361.0","46,785.4","48,070.2","49,151.4","50,232.5","52,299.3","54,001.3","55,681.2","61,684.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,"154,382.1","167,394.6","176,281.9","182,247.2","186,441.3","195,764.3","205,126.4","219,327.9","231,633.5","243,583.9","248,692.4","254,242.0","252,332.8","257,776.0","269,814.2","286,341.5","295,862.7","306,153.1","325,294.0","336,413.9","350,838.7","363,055.5","380,128.5","379,007.1","427,125.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,"610,157.3","645,142.6","679,870.3","738,677.0","773,375.5","789,817.6","833,342.3","913,444.4","995,252.4","1,103,197.6","1,191,093.1","1,244,294.9","1,169,607.7","1,245,959.4","1,341,334.4","1,421,180.1","1,515,195.6","1,579,299.5","1,573,498.4","1,579,014.9","1,673,234.3","1,809,396.7","1,858,757.8","1,789,933.4","2,051,768.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,"57,684.0","62,296.1","66,019.3","70,295.9","73,057.6","75,796.9","78,945.4","86,081.9","95,355.1","106,537.3","114,813.4","117,178.9","113,985.4","118,669.8","125,565.0","129,512.5","135,450.4","142,150.1","149,153.4","157,827.3","168,649.9","184,457.5","196,538.9","202,133.4","225,340.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,"215,101.7","231,384.0","249,801.1","268,470.9","285,635.9","295,355.7","311,665.7","332,115.1","358,069.7","376,235.7","391,699.8","404,634.9","410,967.4","426,992.4","435,180.3","445,973.6","457,640.5","465,181.8","483,786.5","496,021.1","511,114.9","532,906.5","557,764.4","556,992.6","604,957.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,"15,454.7","16,080.7","17,176.9","18,341.1","19,323.2","20,273.0","21,293.2","22,938.2","23,608.6","24,331.5","24,797.7","25,999.3","26,099.2","27,406.6","28,418.7","29,241.3","29,289.6","30,099.4","30,933.3","31,661.2","32,266.1","33,066.8","34,230.8","34,018.6","37,103.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,"193,825.9","209,741.1","229,797.9","237,378.2","238,418.6","245,978.5","255,370.2","268,378.3","293,676.0","314,265.2","342,024.2","354,794.1","351,245.0","365,497.8","379,574.9","400,530.6","419,092.4","440,648.0","466,689.7","487,275.1","519,409.6","564,313.9","595,231.8","612,969.1","677,489.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,"153,431.7","162,609.3","172,224.1","180,427.3","188,163.1","194,658.8","203,339.2","215,537.1","227,297.0","237,569.3","245,839.5","246,814.5","247,210.0","256,432.9","266,364.4","277,107.1","284,270.9","295,696.0","307,507.9","314,073.3","318,310.4","332,498.6","345,236.4","340,591.1","368,611.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,"38,777.5","40,014.6","41,714.3","42,495.6","43,973.3","45,580.8","47,039.9","49,741.4","53,492.5","57,010.0","59,273.5","62,694.8","63,600.7","65,998.7","69,234.1","70,322.2","71,481.5","72,648.2","71,318.5","70,924.4","74,820.1","79,192.9","79,325.6","76,547.9","85,434.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,"14,654.5","14,840.2","15,679.7","17,152.5","18,708.3","19,165.6","21,193.6","23,429.4","27,576.3","32,740.3","36,950.8","42,819.3","36,252.0","37,680.7","39,751.4","38,855.4","39,289.8","40,310.6","38,426.9","35,879.0","36,980.7","39,171.7","39,428.0","36,330.4","41,510.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,"8,577,552.0","9,062,817.0","9,631,172.0","10,250,952.0","10,581,929.0","10,929,108.0","11,456,450.0","12,217,196.0","13,039,197.0","13,815,583.0","14,474,228.0","14,769,862.0","14,478,067.0","15,048,970.0","15,599,731.0","16,253,970.0","16,843,196.0","17,550,687.0","18,206,023.0","18,695,106.0","19,477,337.0","20,533,058.0","21,380,976.0","21,060,474.0","23,315,081.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
