"Real Gross Domestic Product (GDP), million chained (2012) dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83,153","85,194","87,638","88,078","87,310","88,569","92,355","94,483","96,821","99,006","100,212","101,778","98,001","98,601","98,516","100,448","100,331","100,284","100,482","101,255","101,245","100,873","100,983","100,527","104,354",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,047","30,342","30,461","31,241","31,533","32,504","33,811","35,529","37,374","38,578","40,438","40,471","39,513","40,794","41,876","42,341","42,968","43,829","45,396","44,437","45,974","46,584","46,886","46,750","48,976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"315,648","326,786","345,458","356,913","359,617","364,870","373,988","389,210","409,004","434,209","438,960","450,538","431,955","437,837","443,289","445,095","452,056","462,253","475,097","482,969","495,221","501,565","512,835","506,658","541,934",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,413","23,675","23,771","24,706","24,910","26,291","27,870","28,284","29,345","30,590","32,022","34,256","35,244","37,917","42,341","51,833","52,892","57,790","56,542","52,975","54,187","55,914","56,385","53,654","53,804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70,413","72,090","73,626","76,368","78,181","79,180","83,773","85,987","89,309","91,833","93,911","93,841","93,978","97,466","102,587","102,726","104,680","107,937","111,402","112,612","114,144","116,793","118,604","118,142","122,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,360","51,539","53,085","56,779","57,633","59,475","61,893","64,409","65,034","66,628","66,854","65,854","65,023","67,126","67,559","68,498","69,080","70,214","72,042","73,572","73,973","75,433","76,819","75,928","82,986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"426,003","433,564","447,872","471,427","476,617","484,657","494,704","498,245","507,895","516,681","520,898","534,501","506,851","513,918","507,604","517,196","523,726","522,166","529,954","535,055","537,579","550,060","559,649","535,324","566,893",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67,285","66,944","70,488","71,653","71,731","73,910","76,768","83,039","84,034","86,058","86,739","86,965","88,070","87,610","87,593","87,925","86,857","88,991","89,701","89,151","88,963","90,934","94,897","92,496","93,625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89,895","94,673","101,395","105,635","106,635","110,449","115,275","127,326","137,509","142,967","144,107","139,954","128,241","129,828","130,698","129,313","129,721","130,897","136,347","140,081","145,486","150,448","156,959","146,493","159,567",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"977,798","997,252","1,051,338","1,092,188","1,112,794","1,106,151","1,110,613","1,144,125","1,168,891","1,199,277","1,208,565","1,190,081","1,230,672","1,277,467","1,279,527","1,328,234","1,329,376","1,353,410","1,373,643","1,403,231","1,419,112","1,458,382","1,500,833","1,432,507","1,514,779",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
