"","abb","year","est","std_err"
"161","DC",2005,0.184516766104,0.37552321204267
"162","DC",2006,0.38165915839,0.342731842242714
"163","DC",2007,0.4388738320875,0.355352303995026
"164","DC",2008,0.692856020085,0.342468182586349
"165","DC",2009,0.70012727278,0.340953366064428
"166","DC",2010,0.9056964588,0.353264171862353
"167","DC",2011,0.924727108105,0.345662029058558
"168","DC",2012,0.94786468549,0.328756610876643
"169","DC",2013,0.96656395705,0.347315484721563
"170","DC",2014,0.98776474145,0.33527676434165
"171","DC",2015,1.01368143745,0.327434783516497
"172","DC",2016,1.2408995955,0.345516473222392
"173","DC",2017,1.3255425405,0.354189637263452
"174","DC",2018,1.634683146,0.378871622054965
"175","DC",2019,1.6645543995,0.349715110717837
"176","DC",2020,1.7026377385,0.377820295977288
"177","DE",1999,-0.64352035735,0.369989087177486
"178","DE",2000,-0.419822258165,0.331266802927435
"179","DE",2001,-0.412850486436,0.307827644907994
"180","DE",2002,-0.419957745575,0.31158857384071
"181","DE",2003,-0.420517660671,0.313025855037943
"182","DE",2004,-0.25886064961,0.298481846935911
"183","DE",2005,0.05289872880065,0.278586642317742
"184","DE",2006,0.1630474823752,0.263247351089565
"185","DE",2007,0.169470974632,0.260074493273758
"186","DE",2008,0.167610264738,0.270458402745979
"187","DE",2009,0.37751601641235,0.257909395591352
"188","DE",2010,0.64896802188,0.254514484875709
"189","DE",2011,0.661300400946,0.260918743947683
"190","DE",2012,0.67583874496,0.268303378519168
"191","DE",2013,0.6924163921,0.249526700603978
"192","DE",2014,0.906611943,0.234334565028675
"193","DE",2015,0.9744263069,0.243800894742455
"194","DE",2016,0.986292089,0.239640855230227
"195","DE",2017,1.033946705,0.23865654675483
"196","DE",2018,1.160462282,0.257285937564438
"197","DE",2019,1.102057622,0.251085787912958
"198","DE",2020,1.117510351,0.248430209693382
"199","FL",1999,-0.432568476813,0.331783429654018
"200","FL",2000,-0.5031471885135,0.335205865203386
"201","FL",2001,-0.50805075631518,0.333633569990057
"202","FL",2002,-0.50688728158,0.332137192131622
"203","FL",2003,-0.531778974835465,0.32138380607435
"204","FL",2004,-0.522368850255,0.338872814934142
"205","FL",2005,-0.525982688413,0.339735843158943
"206","FL",2006,-0.52376992227965,0.330254726314402
"207","FL",2007,0.02353149785775,0.263249622578052
"208","FL",2008,0.5469762038535,0.243990951808884
"209","FL",2009,0.543091613656,0.248207841798752
"210","FL",2010,0.64029457815,0.229174490012359
"211","FL",2011,0.5091444815649,0.243858705315092
"212","FL",2012,0.5093111487255,0.241113957128651
"213","FL",2013,0.376599271021,0.263503495078827
"214","FL",2014,0.374397201026,0.255840582972193
"215","FL",2015,0.372392348335,0.25496190070363
"216","FL",2016,0.368658378556,0.249337932884842
"217","FL",2017,0.348580449894225,0.256328274097518
"218","FL",2018,0.3522033779505,0.227218341755661
"219","FL",2019,0.2405601359081,0.260213278003573
"220","FL",2020,0.3091548995485,0.249449907871449
"221","GA",1999,-1.243833712065,0.487627039694083
"222","GA",2000,-1.295993792,0.477473856281588
"223","GA",2001,-1.00167996935,0.424213842617078
"224","GA",2002,-1.009986176235,0.422694340540403
"225","GA",2003,-0.999678360095,0.422190863589055
"226","GA",2004,-0.993964045885,0.418194611987133
"227","GA",2005,-1.003427071102,0.422598961485531
"228","GA",2006,-1.022066357495,0.422457796094155
"229","GA",2007,-0.70897367507,0.363687619635919
"230","GA",2008,-0.4328626334,0.32534813074381
"231","GA",2009,-0.4196907117046,0.319099981000602
"232","GA",2010,-0.1157699478947,0.272600494989778
"233","GA",2011,0.038572908734,0.26512682797088
"234","GA",2012,0.043640111813,0.259409597263109
"235","GA",2013,0.046059181856,0.273343696335984
"236","GA",2014,0.04698916009145,0.263617923335129
"237","GA",2015,0.049753414554,0.251606630854568
"238","GA",2016,0.04183689392365,0.263975793670006
"239","GA",2017,0.0308783696505,0.247556357842688
"240","GA",2018,0.03219031277135,0.252226027683199
"241","GA",2019,0.04380351051525,0.283017811470445
"242","GA",2020,0.053627398823,0.281310444349383
"243","HI",1999,-0.439110427401,0.348001046394447
"244","HI",2000,-0.53082215675975,0.350893791357727
"245","HI",2001,-0.340239617297,0.318123660280696
"246","HI",2002,-0.344838152774,0.290435865649384
"247","HI",2003,-0.221418228535,0.287958861059795
"248","HI",2004,0.2948859202,0.260208650737873
"249","HI",2005,0.2985942150505,0.247134222486628
"250","HI",2006,0.3968363072667,0.25251715350902
"251","HI",2007,0.706483462685,0.251846352075996
"252","HI",2008,0.694720414,0.237172524980424
"253","HI",2009,0.994897616,0.247578778120404
"254","HI",2010,1.1968791725,0.244339154935164
"255","HI",2011,1.2100148645,0.240255803890548
"256","HI",2012,1.211752302,0.251421791216193
"257","HI",2013,1.225338323,0.235644554700822
"258","HI",2014,1.2314434345,0.24949901658587
"259","HI",2015,1.4893876975,0.270101896805685
"260","HI",2016,1.507062628,0.280522835150462
