"","State","Year","Chamber","CI","EI","GDPCurrent","Renewables","NatGas","FarmWages","MiningWages","Population","IncomePC","ManuUnion","TotalProd","CoalProd","RenProd","GasProd","OilProd","CoalPrice","NatPrice","OilPrice","Emissions","Area","GDPpc","CoalValue","NatValue","OilValue","CI_Lag1","EI_Lag1","Emissions_Lag1","Weighted_GHI","Weighted_Speed120m"
"352","KS",2004,10.2195,64.8,9.39,99083,1.01745391047502,1.23197888871449,0.0079591793077869,0.00642588300939607,2734,30748,1.18,788950,1.0021103998986,1.57897331896825,1.57897331896825,1.24906267824323,1.03,8.27,12.67,76.6,81787,36.2410387710315,1.01730821634387,39.1253986052098,26.1267085171018,64.8,9.39,76.6,0.147852572666792,0.35493068917896
"353","KS",2005,10.2415,66.7,8.61,105526.3,1.02154217856597,1.2424455705266,0.00651202136281395,0.00701006479159109,2745,32340,1.14,754158,1.00524425916055,1.57289188737639,1.57289188737639,1.25856120335527,1.13,9.56,16.15,73.1,81787,38.4430965391621,1.04235105371836,40.1410251283329,30.8426591285774,66.7,8.61,73.1,0.147852572666792,0.35493068917896
"354","KS",2006,10.234,65.6,8.41,114091.9,1.02594006852128,1.24575118780562,0.00638533183925728,0.00814297048226962,2763,35411,1.115,778155,1.01232530793993,1.5454208994352,1.5454208994352,1.26585191896216,1.21,9.07,18.84,72.9,81787,41.2927614911328,1.1017172121772,34.7404104936459,35.161111875602,65.6,8.41,72.9,0.147852572666792,0.35493068917896
"355","KS",2007,10.1955,64,8.44,123878.7,1.03125872053593,1.25201106897895,0.00815905439254756,0.00835119002428625,2784,37748,1.12,794238,1.01172570438584,1.52157036052166,1.52157036052166,1.26720202256754,1.24,9.09,21.07,79,81787,44.4966594827586,1.09322119137511,31.3970060228272,37.0959352979972,64,8.44,79,0.147852572666792,0.35493068917896
"356","KS",2008,10.1955,64.6,8.02,128604.3,1.05200641337698,1.26128973189762,0.00739688811688033,0.00910067302922923,2808,41060,1.152,836577,1.00614288941723,1.51078741108111,1.51078741108111,1.27498365362662,1.42,10.4,25.27,75,81787,45.7992521367521,1.05674289273376,35.5560389504861,46.202509947179,64.6,8.02,75,0.147852572666792,0.35493068917896
"357","KS",2009,10.218,63.5,8.11,125348.9,1.06127725596132,1.26877964802435,0.00646201674321485,0.00737069991174483,2833,39382,1.129,815669,1.00526684230981,1.49000881485014,1.49000881485014,1.28063221723518,1.44,7.13,17.76,73.2,81787,44.2459936463113,1.04935216822804,23.7345756524389,33.4320140025162,63.5,8.11,73.2,0.147852572666792,0.35493068917896
"358","KS",2010,10.218,62.4,8.18,128591.3,1.06781669478207,1.25268988710584,0.00612440226534223,0.00774668609437281,2858,39822,1.125,811891,1.00378006407264,1.4566019330181,1.4566019330181,1.28911023770432,1.52,7.4,20.95,72.6,81787,44.9934569629111,1.03627679322007,22.333180394008,39.2413872478154,62.4,8.18,72.6,0.147852572666792,0.35493068917896
"359","KS",2011,10.4265,63.2,7.86,136358.9,1.07423896315478,1.25997486977019,0.00721798347972704,0.00853236091421629,2870,42889,1.127,781701,1.00107457966665,1.45416214127908,1.45416214127908,1.30791824495555,1.76,6.89,27.02,70.7,81787,47.5118118466899,1.01084197657799,18.9385497389609,48.6955592924261,63.2,7.86,70.7,0.147852572666792,0.35493068917896
"360","KS",2012,10.4355,61.1,7.53,141818.2,1.08430365644149,1.25098982787434,0.00773536724232372,0.00940338545699156,2886,44914,1.101,789374,1.00049152873036,1.42434258032314,1.42434258032314,1.32146485696261,1.84,5.72,27.47,66.1,81787,49.1400554400554,1.00503405063666,14.5102532679162,50.15220557023,61.1,7.53,66.1,0.147852572666792,0.35493068917896
"361","KS",2013,10.692,60.1,7.73,144483.2,1.12132106764072,1.26298197184024,0.0061531560241739,0.0094690818929132,2894,45670,1.118,822832,1.00065748536761,1.3906812083147,1.3906812083147,1.33020956890349,1.78,6.98,27.16,69.8,81787,49.9250863856254,1.0066649963456,16.5300111016367,52.0755722464619,60.1,7.73,69.8,0.147852572666792,0.35493068917896
