abb,state,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
MD,Maryland,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.11,0.135,0.135,0.135,0.135,0.185,0.185,0.185,0.185,0.185,0.185,0.21,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.27,0.303,0.326,0.335,0.338,0.353,0.363
MA,Massachusetts,0.03,,0.043,0.05,0.05,0.05,0.05,0.05,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.065,0.065,0.065,0.065,0.065,0.065,0.075,0.075,0.075,0.075,0.085,0.085,0.085,0.085,0.085,0.116,0.104,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.17,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.24,0.24,0.24,0.24,0.24,0.24
MI,Michigan,0.03,,0.045,0.045,0.045,0.045,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.09,0.09,0.09,0.09,0.09,0.09,0.11,0.11,0.11,0.13,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.263,0.263,0.263,0.263
MN,Minnesota,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.09,0.09,0.09,0.09,0.11,0.11,0.13,0.16,0.17,0.17,0.17,0.17,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.271,0.296,0.296,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286
MS,Mississippi,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.15,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184
MO,Missouri,0.02,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.13,0.17,0.15,0.15,0.17,0.17,0.17,0.17,0.17,0.1703,0.1703,0.1703,0.1755,0.1755,0.1755,0.1755,0.1755,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.1742,0.1742
MT,Montana,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.065,0.065,0.07,0.07,0.07,0.07,0.07,0.07,0.0775,0.0775,0.08,0.08,0.09,0.09,0.09,0.15,0.15,0.15,0.15,0.2,0.2,0.2,0.2,0.205,0.2,0.22,0.24,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.315,0.315,0.32
NE,Nebraska,0.06,,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.075,0.075,0.075,0.075,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.095,0.095,0.105,0.139,0.137,0.115,0.149,0.164,0.19,0.176,0.182,0.22,0.214,0.234,0.238,0.249,0.26,0.264,0.251,0.253,0.246,,0.239,0.239,0.245,0.255,0.257,0.263,0.27,0.28,0.239,0.239,0.277,0.273,0.273,0.273,0.273,0.265,0.277,0.282,0.293,0.305,0.296
NV,Nevada,0.055,0.055,0.055,0.055,0.055,0.055,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1025,0.12,0.1025,0.1125,0.1125,0.1425,0.1625,0.1625,0.1625,0.18,0.245,0.23375,0.2225,0.24,0.24,0.24,0.23,0.23,0.23,0.24,0.24,0.24,0.24,0.23,0.24805,0.24805,0.24055,0.24055,0.24055,0.24805,0.24805,0.23805,0.23805,0.23805,0.23805,0.24805,0.23805,0.23805,0.24805
NH,New Hampshire,0.04,,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.11,0.11,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.16,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.195,0.195,0.195,0.19625,0.19625,0.19625,0.19625,0.19625,0.19625,0.19625,0.19625,0.19625,0.23825,0.23825,0.23825,0.23825,0.23825,0.23825
